Arrival_Date,Modal_Price
2001-01-31,253.33333333333334
2001-02-28,350.0
2001-03-31,260.15384615384613
2001-04-30,336.77777777777777
2001-05-31,280.07142857142856
2001-06-30,306.6551724137931
2001-07-31,497.0943396226415
2001-08-31,616.8202247191011
2001-09-30,608.3173076923077
2001-10-31,499.7802197802198
2001-11-30,576.1904761904761
2001-12-31,417.4776119402985
2002-01-31,336.25441696113074
2002-02-28,313.72222222222223
2002-03-31,306.8035294117647
2002-04-30,288.4217543859649
2002-05-31,305.7375
2002-06-30,359.5264293419633
2002-07-31,418.348167539267
2002-08-31,489.0422535211268
2002-09-30,516.5775723472669
2002-10-31,590.05587808418
2002-11-30,557.4076723016905
2002-12-31,394.5662170447578
2003-01-31,335.027268853856
2003-02-28,296.16754138070246
2003-03-31,316.6179408374952
2003-04-30,375.40688775510205
2003-05-31,392.0068821527993
2003-06-30,444.7683465286236
2003-07-31,534.3873257614869
2003-08-31,575.741136747327
2003-09-30,622.0282796543598
2003-10-31,810.6823856799037
2003-11-30,742.2757030541276
2003-12-31,704.726380712083
2004-01-31,797.9290676826536
2004-02-29,799.7379287379288
2004-03-31,617.3384546539379
2004-04-30,473.2321094042713
2004-05-31,414.5843653250774
2004-06-30,420.5610307414105
2004-07-31,441.1110774818402
2004-08-31,515.3992967651195
2004-09-30,526.1979136896256
2004-10-31,554.1208888888889
2004-11-30,546.0655820194565
2004-12-31,458.95994436717666
2005-01-31,445.6702362204724
2005-02-28,405.05361384458774
2005-03-31,408.1380200425144
2005-04-30,425.188995958968
2005-05-31,392.4913793103448
2005-06-30,387.6744245524297
2005-07-31,451.84369070208726
2005-08-31,588.8094006037085
2005-09-30,916.8596917666529
2005-10-31,1115.8899978764068
2005-11-30,1197.8004545454546
2005-12-31,870.8004436557231
2006-01-31,583.9967344345616
2006-02-28,470.40382305844673
2006-03-31,441.0794755877034
2006-04-30,419.73914815569594
2006-05-31,382.02237669015426
2006-06-30,406.92275536168665
2006-07-31,468.26960859554873
2006-08-31,499.1934658235471
2006-09-30,519.8925375654229
2006-10-31,531.2754107756973
2006-11-30,541.0344573429151
2006-12-31,616.1715889464595
2007-01-31,878.0872333895965
2007-02-28,1061.8197023047376
2007-03-31,853.7271964185786
2007-04-30,673.6322566564819
2007-05-31,564.017608217168
2007-06-30,655.7363449691992
2007-07-31,869.3396749900911
2007-08-31,1059.5540029289725
2007-09-30,1320.4911000128056
2007-10-31,1400.821460833656
2007-11-30,1022.1420803123257
2007-12-31,679.7313664596273
2008-01-31,543.9344021539591
2008-02-29,471.25604313871327
2008-03-31,480.81361315232283
2008-04-30,497.48027901077995
2008-05-31,458.84566086547505
2008-06-30,477.7743316135084
2008-07-31,601.4112928928079
2008-08-31,799.1954667316597
2008-09-30,810.834907860975
2008-10-31,792.274024906015
2008-11-30,955.7647126969416
2008-12-31,1095.3310254062715
2009-01-31,1268.1652666734137
2009-02-28,1136.5242973610814
2009-03-31,1052.7904910618136
2009-04-30,788.4623880944076
2009-05-31,691.931173380035
2009-06-30,751.1126078843014
2009-07-31,826.9440934933671
2009-08-31,858.9892062064313
